isotope	idnumber	ring	species	subspecies	rn	wp	two	wpp2	wppc	wpt3	wpss	tars	tail	bw	bd	bn	thl	age	moult	ogc	wing	weight	fat	muscle	ringer	time	date	jdate	month	nanjizal	period	condition	pointedness	t3p2	conditiontars
-80.4	71	KRN871	CHIFF	C	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	O	NA	62	7.5	0	1	JB	09:00	19/11/2017	53	N	Y	6	7.02	NA	NA	NA
-63	83	KRN873	CHIFF	A	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	O	NA	55	6.8	0	2	JB	09:30	19/11/2017	53	N	Y	6	8.199	NA	NA	NA
-69.6	60	KRN876	CHIFF	A	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	O	NA	60	7.7	0	2	JB	09:40	19/11/2017	53	N	Y	6	7.724	NA	NA	NA
-68.6	88	KRN877	CHIFF	A	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	O	NA	63	7.2	0	2	JB	09:50	19/11/2017	53	N	Y	6	6.513	NA	NA	NA
-72.1	15	KPN234	CHIFF	C	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	O	NA	NA	NA	NA	NA	RJ	NA	21/11/2017	55	N	N	6	8.326	0.0933	64.41	7.72065256
-54.6	56	JKY440	CHIFF	C	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	RJ	NA	21/11/2017	55	N	N	6	7.301	0.0806	93.75	7.165997974
-48.9	92	JKY445	CHIFF	C	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	O	NA	NA	NA	NA	NA	RJ	NA	21/11/2017	55	N	N	6	6.515	0.0523	88.48	6.614767361
-59.8	22	KRN879	CHIFF	A	N	5	9	6.5	35.1	10	NA	19.9	48	NA	NA	NA	27.9	3	O	3	60	7.2	1	1	RJ	09:00	24/11/2017	58	N	Y	6	7.223	0.0583	65	6.697433546
-61.7	86	KRN813	CHIFF	C	N	5	9.5	7.5	32.8	11.4	NA	17.9	44	NA	NA	NA	27.2	3	O	5	55	6.7	1	2	RJ	10:30	24/11/2017	58	N	Y	6	8.079	0.0709	85.5	8.102645484
-50.3	65	KRN880	CHIFF	C	N	3	8.5	7	36.5	11.7	NA	18.9	48	NA	NA	NA	26.6	3	O	7	60	7.4	2	2	RJ	12:00	24/11/2017	58	N	Y	6	7.423	0.0783	81.9	7.82145175
-65.6	35	KPN796	CHIFF	C	N	4	8	7.2	34.7	11.6	NA	17.7	47	NA	NA	NA	27	3	O	4	57	7.1	2	2	RJ	12:15	24/11/2017	58	N	Y	6	7.938	0.0771	83.52	8.828789614
-74.2	61	KRN881	CHIFF	C	N	4	9	7.4	36.6	11.1	NA	20	51	NA	NA	NA	27.4	3	O	4	63	8	1	1	RJ	12:20	24/11/2017	58	N	Y	6	7.239	0.0587	82.14	7.349741512
